Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,22pF,C_0805_2012Metric,87.312500,-56.356250,90.000000,bottom
C2,22pF,C_0805_2012Metric,79.375000,-56.356250,90.000000,bottom
C3,1uF,C_0805_2012Metric,71.437500,-69.693750,270.000000,bottom
C4,0.1uF,C_0805_2012Metric,75.406250,-57.943750,0.000000,bottom
C5,0.1uF,C_0805_2012Metric,91.281250,-67.468750,90.000000,bottom
C6,0.1uF,C_0805_2012Metric,76.993750,-84.931250,0.000000,bottom
C7,10uF,C_0805_2012Metric,68.834000,-70.993000,270.000000,bottom
D1,SOD-123,D_SOD-123,25.400000,-41.275000,270.000000,bottom
D2,SOD-123,D_SOD-123,44.450000,-41.275000,270.000000,bottom
D3,SOD-123,D_SOD-123,79.375000,-41.275000,270.000000,bottom
D4,SOD-123,D_SOD-123,82.550000,-41.275000,270.000000,bottom
D5,SOD-123,D_SOD-123,101.600000,-41.275000,270.000000,bottom
D6,SOD-123,D_SOD-123,120.650000,-41.275000,270.000000,bottom
D7,SOD-123,D_SOD-123,139.700000,-41.275000,270.000000,bottom
D8,SOD-123,D_SOD-123,158.750000,-41.275000,270.000000,bottom
D9,SOD-123,D_SOD-123,177.800000,-41.275000,270.000000,bottom
D10,SOD-123,D_SOD-123,196.850000,-41.275000,270.000000,bottom
D11,SOD-123,D_SOD-123,215.900000,-41.275000,270.000000,bottom
D12,SOD-123,D_SOD-123,234.950000,-41.275000,270.000000,bottom
D13,SOD-123,D_SOD-123,254.000000,-41.275000,270.000000,bottom
D14,SOD-123,D_SOD-123,25.400000,-60.325000,270.000000,bottom
D15,SOD-123,D_SOD-123,44.450000,-60.325000,270.000000,bottom
D16,SOD-123,D_SOD-123,65.087500,-63.500000,0.000000,bottom
D17,SOD-123,D_SOD-123,98.425000,-60.325000,270.000000,bottom
D18,SOD-123,D_SOD-123,101.600000,-60.325000,270.000000,bottom
D19,SOD-123,D_SOD-123,120.650000,-60.325000,270.000000,bottom
D20,SOD-123,D_SOD-123,139.700000,-60.325000,270.000000,bottom
D21,SOD-123,D_SOD-123,158.750000,-60.325000,270.000000,bottom
D22,SOD-123,D_SOD-123,177.800000,-60.325000,270.000000,bottom
D23,SOD-123,D_SOD-123,196.850000,-60.325000,270.000000,bottom
D24,SOD-123,D_SOD-123,215.900000,-60.325000,270.000000,bottom
D25,SOD-123,D_SOD-123,234.950000,-60.325000,270.000000,bottom
D26,SOD-123,D_SOD-123,254.000000,-60.325000,270.000000,bottom
D27,SOD-123,D_SOD-123,25.400000,-79.375000,270.000000,bottom
D28,SOD-123,D_SOD-123,44.450000,-79.375000,270.000000,bottom
D29,SOD-123,D_SOD-123,63.500000,-79.375000,270.000000,bottom
D30,SOD-123,D_SOD-123,98.425000,-79.375000,270.000000,bottom
D31,SOD-123,D_SOD-123,101.600000,-79.375000,270.000000,bottom
D32,SOD-123,D_SOD-123,120.650000,-79.375000,270.000000,bottom
D33,SOD-123,D_SOD-123,139.700000,-79.375000,270.000000,bottom
D34,SOD-123,D_SOD-123,158.750000,-79.375000,270.000000,bottom
D35,SOD-123,D_SOD-123,177.800000,-79.375000,270.000000,bottom
D36,SOD-123,D_SOD-123,196.850000,-79.375000,270.000000,bottom
D37,SOD-123,D_SOD-123,215.900000,-79.375000,270.000000,bottom
D38,SOD-123,D_SOD-123,234.950000,-79.375000,270.000000,bottom
D39,SOD-123,D_SOD-123,254.000000,-79.375000,270.000000,bottom
D40,SOD-123,D_SOD-123,25.400000,-98.425000,270.000000,bottom
D41,SOD-123,D_SOD-123,44.450000,-98.425000,270.000000,bottom
D42,SOD-123,D_SOD-123,63.500000,-98.425000,270.000000,bottom
D43,SOD-123,D_SOD-123,82.550000,-98.425000,270.000000,bottom
D44,SOD-123,D_SOD-123,101.600000,-98.425000,270.000000,bottom
D45,SOD-123,D_SOD-123,120.650000,-98.425000,270.000000,bottom
D46,SOD-123,D_SOD-123,139.700000,-98.425000,270.000000,bottom
D47,SOD-123,D_SOD-123,158.750000,-98.425000,270.000000,bottom
D48,SOD-123,D_SOD-123,177.800000,-98.425000,270.000000,bottom
D49,SOD-123,D_SOD-123,196.850000,-98.425000,270.000000,bottom
D50,SOD-123,D_SOD-123,215.900000,-98.425000,270.000000,bottom
D51,SOD-123,D_SOD-123,234.950000,-98.425000,270.000000,bottom
D52,SOD-123,D_SOD-123,254.000000,-98.425000,270.000000,bottom
D53,SOD-123,D_SOD-123,25.400000,-117.475000,270.000000,bottom
D54,SOD-123,D_SOD-123,44.450000,-117.475000,270.000000,bottom
D55,SOD-123,D_SOD-123,63.500000,-117.475000,270.000000,bottom
D56,SOD-123,D_SOD-123,82.550000,-117.475000,270.000000,bottom
D57,SOD-123,D_SOD-123,101.600000,-117.475000,270.000000,bottom
D58,SOD-123,D_SOD-123,120.650000,-117.475000,270.000000,bottom
D59,SOD-123,D_SOD-123,139.700000,-117.475000,270.000000,bottom
D60,SOD-123,D_SOD-123,158.750000,-117.475000,270.000000,bottom
D61,SOD-123,D_SOD-123,177.800000,-117.475000,270.000000,bottom
D62,SOD-123,D_SOD-123,196.850000,-117.475000,270.000000,bottom
D63,SOD-123,D_SOD-123,215.900000,-117.475000,270.000000,bottom
D64,SOD-123,D_SOD-123,234.950000,-117.475000,270.000000,bottom
D65,SOD-123,D_SOD-123,254.000000,-117.475000,270.000000,bottom
D66,LED,LED_1206_3216Metric_ReverseMount_Hole1.8x2.4mm,33.337500,-93.662500,0.000000,bottom
D67,LED,LED_1206_3216Metric_ReverseMount_Hole1.8x2.4mm,147.637500,-74.612500,0.000000,bottom
F1,500mA,Fuse_1206_3216Metric,58.737500,-54.162500,90.000000,bottom
J1,USB_C_Receptacle_USB2.0,USB_C_Receptacle_Palconn_UTC16-G,61.912500,-31.750000,0.000000,bottom
R1,10k,R_0805_2012Metric,67.468750,-57.943750,180.000000,bottom
R2,22,R_0805_2012Metric,62.706250,-45.243750,90.000000,bottom
R3,22,R_0805_2012Metric,60.325000,-45.243750,90.000000,bottom
R4,10k,R_0805_2012Metric,86.518750,-81.756250,0.000000,bottom
R5,80,R_0805_2012Metric,39.687500,-93.662500,0.000000,bottom
R6,5.1k,R_0805_2012Metric,55.562500,-35.837500,270.000000,bottom
R7,5.1k,R_0805_2012Metric,68.262500,-35.837500,270.000000,bottom
R8,80,R_0805_2012Metric,153.987500,-74.612500,0.000000,bottom
SW1,SW_Push,SKQG-1155865,69.850000,-53.443750,0.000000,bottom
U1,ATmega32U4-AU,TQFP-44_10x10mm_P0.8mm,80.962500,-71.437500,0.000000,bottom
Y1,16MHz,Crystal_SMD_3225-4Pin_3.2x2.5mm,83.343750,-56.300000,180.000000,bottom
